,CID,IDSURVEY,zHD,zHDERR,zCMB,zCMBERR,zHEL,zHELERR,m_b_corr,m_b_corr_err_DIAG,MU_SH0ES,MU_SH0ES_ERR_DIAG,CEPH_DIST,IS_CALIBRATOR,USED_IN_SH0ES_HF,c,cERR,x1,x1ERR,mB,mBERR,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,RA,DEC,HOST_RA,HOST_DEC,HOST_ANGSEP,VPEC,VPECERR,MWEBV,HOST_LOGMASS,HOST_LOGMASS_ERR,PKMJD,PKMJDERR,NDOF,FITCHI2,FITPROB,m_b_corr_err_RAW,m_b_corr_err_VPEC,biasCor_m_b,biasCorErr_m_b,biasCor_m_b_COVSCALE,biasCor_m_b_COVADD
13,ATLAS16cxr,150,0.01542,0.00131,0.01518,0.001,0.01552,0.001,15.0896,0.371909,34.3426,0.372888,-9.0,0,0,0.04603,0.03762,-0.04908,0.092512,15.3569,0.0808418,0.0129198,0.000961983,-0.000195379,2.76e-06,-2.88e-05,272.027,25.4088,272.02692,25.40884,0.2973604260147385,-72.364,250,0.11019,7.98113,0.002,57666.6,0.0907,8,20.0661,0.010089,0.0735,0.1859,0.0653,0.003,1.0,0.023
14,iPTF16auf,150,0.01543,0.00085,0.01566,0.0,0.01502,0.0,14.8214,0.313702,34.0744,0.314862,-9.0,0,0,0.048315,0.031022,0.046602,0.085019,15.0843,0.0366445,0.0166059,0.000560464,2.73e-05,-3.19e-06,-1.52e-05,217.788,27.236,217.787446,27.237292,4.977763869565937,68.1596,250,0.0130772,9.05163,0.017,57538.1,0.0959,16,65.9142,5.13e-08,0.0678,0.1205,0.068,0.003,1.0,0.023
15,ASASSN-15oh,150,0.01587,0.00085,0.01579,0.00011,0.01683,0.00011,15.1386,0.26899,34.3916,0.270341,-9.0,0,0,0.027876,0.047496,-1.58413,0.17332,15.4733,0.0973778,0.011606,0.00104092,0.000668426,-5.73e-05,-3.85e-05,337.675,39.2932,337.671253,39.291867,11.489721455284426,-24.6285,250,0.12766,10.1993,0.006,57255.9,0.2244,19,32.6009,0.0267151,0.1021,0.1172,-0.0376,0.001,1.0,0.009
16,SN2016gfr,150,0.01671,0.00086,0.0163,0.00012,0.01669,0.00012,14.6455,0.243894,33.8985,0.245383,-9.0,0,0,-0.02286,0.037602,0.12662,0.11111,14.6347,0.0828091,0.025127,0.00191643,-0.000225813,1.64e-06,-5.73e-05,274.898,23.7862,274.898621,23.787149,3.982041568776749,-122.825,250,0.11479,9.56317,0.006,57657.6,0.1821,8,16.0907,0.0410999,0.0743,0.1127,0.0261,0.001,1.0,0.009
17,ASASSN-16ip,150,0.01678,0.00085,0.01632,0.0001,0.01701,0.0001,14.9149,0.244992,34.1679,0.246475,-9.0,0,0,-0.020215,0.033544,-0.877386,0.10684,15.0537,0.0393195,0.0170807,0.000618571,-5.48e-05,-1.26e-05,-1.81e-05,36.8407,-23.9287,36.840871,-23.92876,0.6027283975819372,-135.07,250,0.016838,9.75333,0.006,57619.3,0.1387,13,46.8986,1.01e-05,0.0757,0.1109,0.0195,0.002,1.0,0.01
18,PSNJ0107203,150,0.01682,0.00085,0.01601,4e-05,0.01701,4e-05,14.7143,0.283124,33.9673,0.284408,-9.0,0,0,-0.099458,0.041404,-1.98709,0.19122,14.792,0.0590802,0.0217364,0.00118278,0.00050503,-4.29e-05,-3.8e-05,16.8346,32.3997,16.853995,32.412559,74.95285831914848,-240.34,250,0.0595594,11.0223,0.001,57352.0,0.1671,11,12.4795,0.3287,0.0954,0.1107,0.0397,0.001,1.0,0.003
19,ASASSN-15ti,150,0.01692,0.00085,0.01671,6e-05,0.01732,6e-05,15.2364,0.309138,34.4894,0.310314,-9.0,0,0,-0.042266,0.041071,-1.47904,0.10914,15.4053,0.0921956,0.0123566,0.00104926,7.15e-05,-1.18e-05,-3.42e-05,46.2858,37.9,46.29421,37.9,23.890309528840316,-61.2857,250,0.12944,8.44463,0.001,57364.1,0.1956,11,7.75279,0.73526,0.081,0.11,0.0289,0.002,1.0,0.007
20,ASASSN-15od,150,0.01698,0.00085,0.01678,1e-05,0.0176,1e-05,15.0879,0.226785,34.3409,0.228387,-9.0,0,0,-0.101117,0.035272,-1.11648,0.12954,15.0484,0.0423478,0.0171642,0.000669469,-0.000295421,-4.85e-06,-1.99e-05,35.8049,-4.5172,35.80518,-4.516944,1.3634944651829364,-57.138,250,0.0255052,9.51783,0.001,57256.4,0.3173,8,7.74803,0.45846,0.0814,0.1096,0.0561,0.002,1.0,0.005
21,ASASSN-15kx,150,0.0172,0.00085,0.01697,8e-05,0.01802,8e-05,15.3554,0.21815,34.6084,0.219814,-9.0,0,0,-0.09556,0.042094,-1.45347,0.14555,15.361,0.09954,0.0128712,0.00118003,0.000146002,-1.06e-05,-3.95e-05,334.049,37.4738,334.049529,37.474586,3.207945426113724,-70.1331,250,0.14108,10.5578,0.028,57191.6,0.1556,10,12.1339,0.2762,0.0826,0.1082,0.0342,0.001,1.0,0.003
22,ASASSN-17co,150,0.01826,0.00086,0.01791,0.00015,0.01826,0.00015,14.9475,0.279266,34.2005,0.280568,-9.0,0,0,0.10393,0.038877,-0.582812,0.15128,15.3487,0.0725288,0.0130175,0.000869585,0.000681067,-1.79e-05,-2.66e-05,272.336,18.2983,272.335765,18.297777,2.0469730815234706,-102.666,250,0.0907109,10.9028,0.001,57808.2,0.1872,7,9.01701,0.25144,0.0795,0.1032,-0.0586,0.002,1.0,0.019
23,PS15coh,150,0.01839,0.00085,0.01796,7e-05,0.01884,7e-05,15.1863,0.225289,34.4393,0.226901,-9.0,0,0,-0.036481,0.038789,1.34214,0.098652,14.9498,0.0853124,0.0187971,0.001477,-0.000625486,3.8e-06,-4.54e-05,33.9935,12.2372,33.993504,12.237269,0.24880856696925333,-126.669,250,0.11837,8.09212,0.002,57329.4,0.1155,18,12.8042,0.80307,0.0786,0.1013,0.0219,0.001,1.0,0.007
24,ATLAS16cpu,150,0.01865,0.00085,0.01851,1e-05,0.01819,1e-05,15.3186,0.238466,34.5716,0.239989,-9.0,0,0,0.037895,0.036142,-0.957574,0.16126,15.5869,0.0430103,0.0104528,0.000414077,0.000620869,-2.33e-06,-1.25e-05,227.956,46.251,227.9516,46.25386,15.032551368626295,-41.1108,250,0.0240212,10.0079,0.012,57630.9,0.3588,5,5.73414,0.33295,0.0799,0.0999,-0.0425,0.001,1.0,0.01
25,ASASSN-16cs,150,0.01905,0.00085,0.01839,1e-05,0.01802,1e-05,15.1756,0.280109,34.4286,0.281407,-9.0,0,0,0.033984,0.03809,0.28962,0.11906,15.3381,0.0833459,0.0131445,0.00100903,-0.000325933,-3.99e-06,-3.05e-05,102.653,31.1124,102.653578,31.116816,15.997100886700967,-194.645,250,0.11447,9.10557,0.002,57464.6,0.1541,7,12.9588,0.0731189,0.0772,0.0978,0.0478,0.002,1.0,0.019
26,2016W,150,0.01995,0.00085,0.01855,7e-05,0.01925,7e-05,15.1118,0.29449,34.3648,0.295725,-9.0,0,0,0.046849,0.036704,-1.42495,0.10741,15.5653,0.0558497,0.0106626,0.000548479,0.000145726,-9.12e-06,-1.58e-05,37.6655,42.236,37.660433,42.232266,19.055352294978942,-411.415,250,0.0598882,8.45606,0.002,57417.8,0.1356,10,15.7274,0.10771,0.0802,0.0934,0.0461,0.003,1.0,0.022
27,ATLAS16dqf,150,0.02034,0.00087,0.02019,0.00018,0.02117,0.00018,15.3219,0.374851,34.5749,0.375822,-9.0,0,0,0.12111,0.059385,0.80402,0.20183,15.731,0.0877374,0.00915403,0.000739729,0.000324393,-2.11e-05,-3.99e-05,317.283,-18.1039,317.28084,-18.10218,9.642041805471058,-41.7186,250,0.0602357,7.75897,0.03,57703.5,0.224,5,9.03744,0.10758,0.1163,0.0938,0.1008,0.004,1.0,0.038
28,ASASSN-15lg,150,0.02044,0.00085,0.02121,1e-05,0.02015,1e-05,15.4022,0.212886,34.6552,0.214591,-9.0,0,0,-0.082581,0.041039,-1.2315,0.1417,15.425,0.0549926,0.0121341,0.000614594,0.000258455,-1.24e-05,-2.23e-05,198.887,3.5007,198.886308,3.500772,2.5000266329123337,224.978,250,0.0265131,9.66664,0.013,57196.5,0.2988,7,13.0903,0.0699396,0.0856,0.0912,0.0441,0.001,1.0,0.006
29,PSNJ1602512,150,0.02052,0.00086,0.02039,0.00013,0.02025,0.00013,15.303,0.33281,34.556,0.333904,-9.0,0,0,0.097168,0.032136,0.34806,0.10388,15.6917,0.0379133,0.00949146,0.000331437,8.02e-05,-5.81e-06,-9.27e-06,240.714,47.2248,240.708293,47.224515,13.990440922717799,-37.1359,250,0.0145255,9.81701,0.001,57172.4,0.1017,14,27.6467,0.0158442,0.0715,0.0919,0.0872,0.003,1.0,0.034
30,ASASSN-17bs,150,0.02056,0.00085,0.02014,2e-05,0.02039,2e-05,15.3117,0.24804,34.5647,0.249505,-9.0,0,0,0.063357,0.037272,-1.01194,0.15497,15.6594,0.0635451,0.00977787,0.000572271,0.000181858,-9.86e-06,-1.65e-05,268.026,21.566,268.024537,21.569135,12.303032991438766,-125.067,250,0.0762632,10.0832,0.012,57791.1,0.1937,6,6.1574,0.40579,0.0817,0.0907,-0.0499,0.001,1.0,0.013
31,AT2016eoa,150,0.02106,0.00085,0.01993,7e-05,0.02109,7e-05,15.4163,0.229102,34.6693,0.230687,-9.0,0,0,0.007093,0.040895,-1.57505,0.16289,15.6896,0.0581236,0.00950967,0.000509089,-0.000922845,-1.02e-05,-1.57e-05,5.3461,22.4354,5.343377,22.4336,11.139573590348489,-331.623,250,0.0608809,10.2163,0.013,57615.7,0.1809,6,8.89598,0.17951,0.1002,0.0886,-0.0334,0.001,1.0,0.006
32,ASASSN-16lg,150,0.02116,0.00086,0.02093,0.00011,0.02117,0.00011,15.122,0.201286,34.375,0.203089,-9.0,0,0,-0.041446,0.03894,-1.33321,0.17568,15.2332,0.0605927,0.0144791,0.000808047,0.000281395,-2.27e-05,-2.45e-05,267.051,17.6256,267.051157,17.625255,1.3537807971210973,-66.5899,250,0.0675076,10.4449,0.001,57674.6,0.2204,6,8.95352,0.17621,0.0879,0.0892,-0.0098,0.0,1.0,0.003
33,SN2016ajf,150,0.02134,0.00085,0.01978,3e-05,0.02032,3e-05,15.5097,0.338897,34.7627,0.339971,-9.0,0,0,0.20266,0.050455,-2.93112,0.17108,16.5392,0.10146,0.00434839,0.000406352,0.000214686,-9.98e-06,-1.55e-05,49.9771,41.565,49.975526,41.563465,6.965017882863921,-460.506,250,0.14138,11.5,0.001,57442.2,0.2824,12,51.6405,7.18e-07,0.1089,0.0874,-0.082,0.032,1.0,0.028
34,ASASSN-15uv,150,0.02153,0.00085,0.02104,2e-05,0.02028,2e-05,15.3584,0.392396,34.6114,0.393324,-9.0,0,0,0.27395,0.032925,0.26468,0.12635,16.3538,0.0430154,0.00515808,0.000204356,-4.75e-05,-1.09e-06,-5.79e-06,126.784,27.8116,126.784087,27.810466,4.091788048713839,-143.28,250,0.0286457,9.45815,0.001,57392.5,0.1873,18,18.6205,0.41553,0.0717,0.0866,0.1349,0.015,1.0,0.05
35,ATLAS16dpb,150,0.02215,0.00085,0.02238,3e-05,0.02309,3e-05,15.7951,0.287366,35.0481,0.288632,-9.0,0,0,0.098219,0.049178,-2.54831,0.2206,16.4648,0.10901,0.00465672,0.000467533,-0.00123046,4.95e-06,-1.66e-05,44.3919,5.9782,44.390287,5.976963,7.292752239392532,68.0666,250,0.16073,10.8735,0.0,57689.3,0.5896,7,17.9054,0.0219471,0.1137,0.0842,-0.0624,0.004,1.0,0.018
36,ASASSN-17aj,150,0.02255,0.00086,0.02253,0.00011,0.02127,0.00011,15.4776,0.241638,34.7306,0.243141,-9.0,0,0,0.00592,0.033153,0.1408,0.13185,15.5584,0.0442677,0.010731,0.000437526,0.00028422,-9.86e-06,-1.2e-05,173.294,-10.2218,173.294083,-10.228816,25.259311638720874,-6.6903,250,0.0359668,7.0,0.014,57773.1,0.1394,8,20.6062,0.0082705,0.0734,0.0837,0.0309,0.001,1.0,0.014
37,AT2017cfb,150,0.02266,0.00085,0.02382,1e-05,0.0229,1e-05,15.5908,0.218888,34.8438,0.220547,-9.0,0,0,-0.076928,0.033144,0.9422,0.1487,15.3027,0.0410039,0.0135806,0.000512886,-0.000345163,-4.55e-06,-1.41e-05,208.528,9.4128,208.536556,9.412739,30.387672560336277,339.032,250,0.028389,8.97146,0.013,57836.8,0.2723,7,7.70642,0.35919,0.0781,0.0824,0.0364,0.001,1.0,0.006
38,ASASSN-15il,150,0.02295,0.00087,0.02374,0.00015,0.02331,0.00015,15.6054,0.19945,34.8584,0.20127,-9.0,0,0,-0.11218,0.04066,1.24762,0.12464,15.1833,0.10222,0.015159,0.00142718,7.31e-06,-1.39e-05,-4.62e-05,239.284,-12.6733,239.283804,-12.673672,1.505774417512769,232.326,250,0.14964,9.87434,0.002,57161.4,0.1944,12,39.3529,9.2e-05,0.08,0.0833,0.0565,0.001,1.0,0.005
39,PS15cku,150,0.02325,0.00086,0.02222,7e-05,0.02327,7e-05,15.8007,0.22811,35.0537,0.229702,-9.0,0,0,-0.010924,0.034209,0.75555,0.14045,15.7328,0.0409601,0.00913877,0.000344766,-0.000188493,-3.37e-06,-1e-05,21.0939,3.5876,21.093329,3.588014,2.535789690328643,-301.9,250,0.022645,9.13095,0.011,57319.3,0.2875,12,22.3063,0.0342274,0.0789,0.0812,0.0249,0.001,1.0,0.011
40,ASASSN-15nr,150,0.02344,0.00087,0.02309,0.00018,0.0232,0.00018,15.5801,0.262385,34.8331,0.263771,-9.0,0,1,0.028589,0.039662,1.20679,0.19025,15.5816,0.0829089,0.0105042,0.000802121,0.000708509,-1.5e-05,-2.54e-05,261.674,13.9098,261.672978,13.909741,3.5776187601511893,-101.959,250,0.11158,9.88465,0.013,57250.1,0.1506,8,10.0364,0.26248,0.0792,0.0815,0.0387,0.002,1.0,0.018
41,ATLAS17bas,150,0.02357,0.00085,0.02331,1e-05,0.02222,1e-05,15.3185,0.260349,34.5715,0.261746,-9.0,0,1,0.027298,0.033387,0.80072,0.12208,15.3776,0.0398948,0.0126753,0.000465747,-5.06e-06,-1.08e-05,-1.33e-05,166.898,22.8514,166.899002,22.852325,4.70514486355366,-76.1109,250,0.0196324,8.18544,0.001,57813.2,0.1451,7,13.4349,0.0621951,0.0761,0.0792,0.0404,0.001,1.0,0.018
42,ASASSN-15tz,150,0.02365,0.00085,0.0222,3e-05,0.02286,3e-05,15.7013,0.272706,34.9543,0.274039,-9.0,0,1,0.11405,0.045533,-1.51814,0.1542,16.2645,0.10167,0.0056004,0.000524417,0.000460562,-1e-05,-1.9e-05,40.287,43.6802,40.288913,43.682697,10.2767110130575,-424.049,250,0.14106,10.1999,0.005,57376.1,0.1787,8,3.81395,0.87351,0.0899,0.079,-0.0659,0.002,1.0,0.019
43,ASASSN-15jt,150,0.0239,0.00085,0.02396,1e-05,0.02306,1e-05,15.636,0.402793,34.889,0.403697,-9.0,0,0,0.21149,0.039406,-2.32675,0.14299,16.753,0.0441825,0.00357119,0.000145325,0.000494532,-4.95e-06,-5e-06,197.038,27.8264,197.03794,27.82661,0.7797583093207064,17.4705,250,0.00965878,9.91542,0.001,57169.8,0.1876,14,40.221,0.000235644,0.0885,0.0781,0.0673,0.023,1.0,0.05
44,ASASSN-16em,150,0.0239,0.00086,0.02296,9e-05,0.02302,9e-05,15.741,0.276066,34.994,0.277383,-9.0,0,0,0.044848,0.038546,0.43976,0.13077,15.9178,0.0849831,0.00770674,0.000603224,-0.000718777,4.94e-06,-1.87e-05,203.057,84.6783,203.055167,84.678528,1.0238499130729348,-275.079,250,0.11701,8.53565,0.014,57500.8,0.1545,11,46.2396,2.93e-06,0.077,0.0791,0.0506,0.002,1.0,0.022
45,AT2016bln,150,0.02429,0.00085,0.02425,3e-05,0.0233,3e-05,15.8241,0.193541,35.0771,0.195416,-9.0,0,0,-0.005445,0.032638,1.12918,0.12003,15.6529,0.0409001,0.00983667,0.000370551,-0.000132922,-8.46e-06,-1.03e-05,203.689,13.8539,203.73292,13.8325,171.7655351430227,-12.0915,250,0.0250197,10.4738,0.209,57499.6,0.0892,16,38.3013,0.00137056,0.0746,0.0769,-0.0402,0.001,1.0,0.005
46,ASASSN-15sf,150,0.02432,0.00131,0.02349,0.001,0.02468,0.001,15.9787,0.23365,35.2317,0.235205,-9.0,0,1,-0.069691,0.032833,0.87267,0.13555,15.7165,0.0413885,0.00927729,0.000353653,6.67e-05,-1.17e-05,-9.62e-06,2.865,-6.4273,2.86433,-6.43041,11.44968258214319,-241.913,250,0.0263781,8.21725,0.034,57333.3,0.1668,10,36.4549,7.03e-05,0.0762,0.1184,0.0296,0.001,1.0,0.006
47,PS16ccn,150,0.02457,0.00087,0.02395,0.00016,0.02431,0.00016,15.9254,0.187175,35.1784,0.189112,-9.0,0,1,-0.125246,0.035357,0.37785,0.11105,15.6057,0.0558374,0.0102734,0.000528342,-0.000445957,1.63e-06,-1.54e-05,273.122,31.2799,,,,-183.015,250,0.0577757,7.58621,0.013,57508.6,0.2459,18,41.8436,0.00116288,0.075,0.0778,0.0709,0.001,1.0,0.004
48,ASASSN-16hz,150,0.02466,0.00087,0.02406,0.00015,0.02531,0.00015,15.5582,0.316446,34.8112,0.317595,-9.0,0,1,0.09128,0.034225,-0.271228,0.12153,15.9978,0.0471584,0.00715947,0.000310968,-0.000462661,5.52e-06,-8.67e-06,348.94,-1.3396,348.940188,-1.337094,9.046937404864819,-175.764,250,0.0311734,9.55271,0.002,57605.3,0.4073,8,8.6616,0.37164,0.0761,0.0775,0.0649,0.003,1.0,0.032
49,Gaia16agf,150,0.02509,0.00086,0.02553,2e-05,0.02507,2e-05,15.9622,0.267166,35.2152,0.268527,-9.0,0,1,0.037954,0.034382,1.3638,0.14605,15.9737,0.0527444,0.00732001,0.000355602,3.03e-05,-7.01e-06,-9.67e-06,98.5373,-25.1846,,,,130.452,250,0.0571243,8.65931,0.1,57455.9,0.1672,10,13.7941,0.18259,0.0772,0.0754,0.043,0.002,1.0,0.02
50,AT2017cfc,150,0.02512,0.00087,0.02499,0.00016,0.02402,0.00016,15.7746,0.188272,35.0276,0.190198,-9.0,0,0,-0.006368,0.032331,-0.915129,0.095605,15.912,0.0440503,0.00774839,0.000314366,-1.22e-05,-2.42e-06,-8.19e-06,208.163,-2.0022,208.165879,-1.997546,19.697713138389418,-39.4698,250,0.0400918,10.4655,0.0,57837.6,0.1193,12,29.0901,0.00382045,0.0718,0.0761,-0.0303,0.001,1.0,0.005
51,ASASSN-16bq,150,0.02534,0.00086,0.02582,1e-05,0.02493,1e-05,15.9352,0.174626,35.1882,0.176701,-9.0,0,0,-0.052867,0.034074,-1.67717,0.070301,16.0681,0.0451419,0.00671057,0.000279007,-0.000190497,-2.73e-06,-8.13e-06,212.86,1.286,212.859299,1.28652,3.1416129820656273,141.164,250,0.0330339,10.6831,0.001,57437.8,0.193,24,24.9616,0.40785,0.0736,0.0746,-0.0035,0.0,1.0,0.003
52,PS15ahs,150,0.02534,0.00086,0.02522,4e-05,0.02551,4e-05,15.9444,0.183966,35.1974,0.185937,-9.0,0,1,-0.091254,0.031897,0.17315,0.097042,15.7344,0.040576,0.00912508,0.000341021,-0.000162818,-2.51e-06,-9.23e-06,269.874,43.3901,269.87396,43.39192,6.552835915559269,-36.7715,250,0.0308673,9.35319,0.015,57156.7,0.1114,10,22.6525,0.0121047,0.0709,0.0746,0.0453,0.001,1.0,0.005
53,PSNJ0153424,150,0.02556,0.00085,0.02474,1e-05,0.02565,1e-05,15.9298,0.23216,35.1828,0.233724,-9.0,0,1,0.069316,0.033712,-0.609377,0.09066,16.2304,0.0481898,0.00577895,0.000256496,-0.000140587,-1.77e-06,-7.07e-06,28.4267,29.9363,28.425992,29.933299,11.027078104512588,-237.62,250,0.0465803,10.2733,0.001,57393.6,0.1038,10,19.6557,0.0326823,0.0733,0.0731,-0.0561,0.001,1.0,0.014
54,SN2017hn,150,0.02557,0.00085,0.02492,1e-05,0.02385,1e-05,15.8091,0.188251,35.0621,0.190177,-9.0,0,1,-0.027287,0.035539,0.62439,0.21566,15.6562,0.0432661,0.00980663,0.00039079,-0.000558218,-7.16e-06,-1.15e-05,196.914,6.3376,196.914157,6.335999,5.790910081032854,-189.322,250,0.0283978,10.8634,0.001,57768.2,0.399,5,3.34465,0.64701,0.0887,0.0731,-0.0288,0.001,1.0,0.003
55,SN2017ms,150,0.02591,0.00086,0.02538,1e-05,0.02448,1e-05,15.8651,0.198351,35.1181,0.200181,-9.0,0,1,-0.120033,0.033733,0.43188,0.23212,15.5491,0.0375811,0.0108229,0.000374618,-0.000178095,-1.91e-05,-9.24e-06,156.676,36.6805,156.674963,36.681448,4.539913091876406,-156.121,250,0.00854963,8.61119,0.002,57782.3,0.3625,4,21.5039,0.000650383,0.092,0.073,0.0665,0.001,1.0,0.005
56,PSNJ2352371,150,0.02596,0.00085,0.02525,1e-05,0.02648,1e-05,16.1484,0.198664,35.4014,0.200491,-9.0,0,0,-0.013533,0.040167,-2.03886,0.13735,16.4324,0.0509978,0.00479758,0.000225346,-6.92e-06,-4.52e-06,-7.38e-06,358.155,14.5525,358.1517,14.551439,12.116676434547568,-208.216,250,0.0355061,10.5389,0.005,57284.0,0.4607,10,24.9873,0.00536969,0.0917,0.072,-0.0273,0.001,1.0,0.004
57,SN2017mf,150,0.02598,0.00086,0.02618,1e-05,0.02561,1e-05,16.0581,0.176679,35.3111,0.17873,-9.0,0,1,-0.027296,0.033476,-0.158018,0.14413,16.0258,0.0376897,0.00697691,0.000242193,0.00011409,-6.39e-07,-6.76e-06,214.129,39.5864,214.13248,39.589132,13.782027682517455,59.0114,250,0.00942174,10.508,0.013,57779.1,0.3612,7,16.024,0.024898,0.0775,0.0728,-0.0236,0.001,1.0,0.003
58,ASASSN-15uu,150,0.02632,0.00086,0.02579,1e-05,0.02678,1e-05,15.7693,0.371366,35.0223,0.372346,-9.0,0,0,0.16344,0.0376,0.96417,0.18413,16.2928,0.0562213,0.00545626,0.000282535,-0.00062975,2.79e-07,-8.27e-06,25.9859,17.0626,25.985723,17.062056,2.050952020391147,-153.683,250,0.0588113,9.70579,0.007,57389.7,0.4004,8,33.4175,5.18e-05,0.0883,0.0719,0.1079,0.005,1.0,0.045
59,ASASSN-15mf,150,0.02695,0.00086,0.02691,1e-05,0.02604,1e-05,15.8654,0.179348,35.1184,0.181369,-9.0,0,0,-0.023271,0.034768,-1.14563,0.16636,15.9904,0.0442641,0.00720849,0.000293881,-0.000222012,2.96e-06,-8.33e-06,213.595,2.9755,213.59584,2.97544,3.027638925279614,-14.0106,250,0.0317787,10.9913,0.001,57212.5,0.3922,10,19.9159,0.0465071,0.0802,0.0702,-0.0245,0.0,1.0,0.004
60,ASASSN-17at,150,0.02713,0.00086,0.02643,1e-05,0.02537,1e-05,15.9983,0.184798,35.2513,0.18676,-9.0,0,1,-0.02295,0.034274,-1.46792,0.27096,16.1718,0.0407156,0.00609918,0.000228722,0.000158751,-3.19e-06,-6.68e-06,174.64,25.3971,174.640408,25.398094,3.8164732630815696,-204.188,250,0.0236917,10.1022,0.0,57776.8,0.4103,6,15.9545,0.025535,0.0846,0.0698,-0.0245,0.0,1.0,0.004
61,ASASSN-15fa,150,0.02741,0.00086,0.02721,1e-05,0.02734,1e-05,16.2706,0.223713,35.5236,0.225337,-9.0,0,0,0.053892,0.034025,0.83709,0.22502,16.3063,0.0425571,0.0053888,0.000211222,-0.000486078,5.62e-06,-6.01e-06,257.442,62.9743,257.433646,62.973035,14.404622884114442,-57.8254,250,0.0235997,10.6915,0.001,57102.0,0.4594,8,4.27584,0.89234,0.0813,0.0691,-0.0599,0.001,1.0,0.012
62,ASASSN-16av,150,0.02773,0.00086,0.02676,7e-05,0.02567,7e-05,16.0937,0.288615,35.3467,0.289875,-9.0,0,0,0.16057,0.036869,0.78114,0.21354,16.438,0.0463055,0.00477325,0.000203574,-0.000823663,5.43e-07,-6.22e-06,177.868,22.0261,177.867624,22.025975,1.333053945140561,-284.498,250,0.0236045,10.9106,0.001,57409.6,0.4094,6,19.855,0.00293881,0.09,0.0683,-0.0894,0.002,1.0,0.024
63,PSNJ0252467,150,0.02816,0.00086,0.02748,3e-05,0.02809,3e-05,16.1083,0.188706,35.3613,0.190628,-9.0,0,1,-0.098566,0.044015,-0.242102,0.14107,15.943,0.1139,0.00753016,0.000789942,-0.000202164,1.66e-06,-2.82e-05,43.1946,46.9464,43.18515,46.938107,37.825735722259175,-197.78,250,0.17,7.0,0.083,57289.7,0.2651,10,51.4588,1.44e-07,0.0828,0.0672,0.0514,0.001,1.0,0.005
64,AT2017ns,150,0.02849,0.00094,0.02802,0.0004,0.02877,0.0004,15.9433,0.365609,35.1963,0.366604,-9.0,0,0,0.2265,0.042867,-0.966399,0.26699,16.8426,0.0752493,0.00328825,0.000227899,0.00235193,-1.25e-05,-7.53e-06,42.2932,14.6008,42.292366,14.600972,2.9706879990618953,-138.084,250,0.0936689,9.90071,0.007,57784.2,0.2481,5,10.4543,0.0633394,0.0921,0.0727,0.0039,0.018,1.0,0.049
65,SN2017ckx,150,0.02858,0.00086,0.02779,0.0,0.02716,0.0,16.4066,0.249928,35.6596,0.251383,-9.0,0,0,-0.032273,0.039452,1.97167,0.55096,16.0369,0.0504237,0.00690624,0.000320739,-0.00366412,-7.19e-05,-8.87e-06,117.045,28.2307,117.045705,28.230312,2.6365198166311883,-229.768,250,0.0294114,10.2137,0.001,57846.2,0.9346,5,6.76283,0.23889,0.1486,0.0663,-0.0314,0.001,1.0,0.003
66,ASASSN-15la,150,0.02902,0.00086,0.02845,1e-05,0.02782,1e-05,15.8028,0.21699,35.0558,0.218663,-9.0,0,1,0.053166,0.034029,-1.01539,0.22257,16.109,0.0397499,0.00646223,0.000236589,0.00100247,-7.97e-06,-6.98e-06,213.213,35.7112,213.21349,35.71089,1.8157631739297742,-166.734,250,0.01626,10.5989,0.125,57190.0,0.2456,9,28.8126,0.00069692,0.0772,0.0653,-0.0604,0.001,1.0,0.011
67,PS16cvc,150,0.02915,0.00086,0.02844,9e-05,0.02954,9e-05,16.4418,0.181346,35.6948,0.183345,-9.0,0,1,-0.099116,0.036324,1.16607,0.13242,16.0629,0.0673696,0.006743,0.000418401,-0.000998739,4.37e-06,-1.2e-05,318.097,14.7793,318.095803,14.778781,4.566377333519157,-206.273,250,0.0823755,7.95752,0.258,57564.5,0.3466,23,83.2724,9.3e-09,0.0796,0.065,0.0472,0.001,1.0,0.005
68,ASASSN-15fs,150,0.02917,0.00086,0.0285,5e-05,0.02902,5e-05,15.9861,0.183851,35.2391,0.185823,-9.0,0,1,0.006798,0.034783,-0.021703,0.13116,16.0172,0.0620571,0.00703289,0.000401977,0.000172452,-1.73e-06,-1.1e-05,284.67,43.4689,284.669375,43.468356,2.549868153879684,-196.215,250,0.0774664,10.0517,0.001,57113.4,0.2092,11,34.7234,0.000275213,0.0723,0.0649,-0.0456,0.001,1.0,0.006
69,ASASSN-16ay,150,0.02938,0.00086,0.02895,1e-05,0.02835,1e-05,16.3692,0.298748,35.6222,0.299966,-9.0,0,0,0.20461,0.036502,0.97889,0.17432,16.7839,0.0586329,0.00347084,0.000187435,-0.000825739,3.7e-06,-5.38e-06,108.059,7.2395,108.063032,7.241038,15.427269560801628,-124.578,250,0.059207,10.3341,0.001,57416.7,0.5744,8,10.7323,0.21734,0.0827,0.0645,-0.126,0.004,1.0,0.027
