,CID,IDSURVEY,zHD,zHDERR,zCMB,zCMBERR,zHEL,zHELERR,m_b_corr,m_b_corr_err_DIAG,MU_SH0ES,MU_SH0ES_ERR_DIAG,CEPH_DIST,IS_CALIBRATOR,USED_IN_SH0ES_HF,c,cERR,x1,x1ERR,mB,mBERR,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,RA,DEC,HOST_RA,HOST_DEC,HOST_ANGSEP,VPEC,VPECERR,MWEBV,HOST_LOGMASS,HOST_LOGMASS_ERR,PKMJD,PKMJDERR,NDOF,FITCHI2,FITPROB,m_b_corr_err_RAW,m_b_corr_err_VPEC,biasCor_m_b,biasCorErr_m_b,biasCor_m_b_COVSCALE,biasCor_m_b_COVADD
152,SN2016gmb,150,0.0583,0.00089,0.05708,8e-05,0.05827,8e-05,17.7015,0.180838,36.9545,0.182842,-9.0,0,1,-0.099359,0.043751,1.1287,0.28748,17.3271,0.0696605,0.00210451,0.000135024,-0.00325498,1.15e-05,-4.75e-06,8.6861,-6.1589,8.687177,-6.159932,5.3537203508869835,-343.702,250,0.0292604,9.39885,0.003,57656.5,1.0332,9,8.85707,0.54572,0.1051,0.0341,0.047,0.002,1.0,0.003
153,SN2017cjv,150,0.06092,0.0009,0.06079,0.00014,0.05953,0.00014,17.779,0.175525,37.032,0.17759,-9.0,0,0,-0.112822,0.040446,-1.26761,0.30792,17.7058,0.0444551,0.00148481,6.08e-05,-0.00106765,-3.75e-07,-1.94e-06,152.69,-3.7775,152.690047,-3.778907,5.068011951191755,-37.2838,250,0.02597,10.6078,0.013,57839.9,0.5871,6,12.8607,0.0453016,0.1095,0.033,0.0363,0.001,1.0,0.001
154,SN2016hhv,150,0.06121,0.0009,0.06067,0.00014,0.06194,0.00014,17.8853,0.196159,37.1383,0.198009,-9.0,0,0,-0.182466,0.053224,-0.771196,0.38634,17.6183,0.0909773,0.00160949,0.000134864,-0.00911167,3.36e-05,-7.43e-06,353.952,20.7088,353.949476,20.707407,9.868506475675764,-151.965,250,0.0510693,10.7875,0.002,57691.9,1.2748,4,7.20033,0.12567,0.1141,0.0329,0.131,0.005,1.0,0.001
155,SN2016aqb,150,0.06384,0.00089,0.06419,4e-05,0.06289,4e-05,17.7667,0.153498,37.0197,0.155855,-9.0,0,0,-0.102702,0.034024,0.76814,0.26055,17.4334,0.0419114,0.00190824,7.37e-05,0.000323877,-2.84e-06,-2.1e-06,170.493,-13.9837,170.491346,-13.980331,13.434401156549093,100.695,250,0.0323363,9.62423,0.013,57450.5,0.2241,16,15.7711,0.46905,0.0844,0.0312,0.0452,0.002,1.0,0.003
156,PS16bnz,150,0.06446,0.00091,0.06398,0.00021,0.0627,0.00021,17.8256,0.15205,37.0786,0.154429,-9.0,0,0,-0.138069,0.036947,-1.13602,0.22345,17.6896,0.0450032,0.00150712,6.25e-05,0.000570795,-2.96e-06,-1.83e-06,155.154,-2.4668,155.14637,-2.46836,28.011281935851503,-135.381,250,0.0379388,11.2932,0.0,57487.5,0.173,11,8.74371,0.64554,0.0901,0.0316,0.071,0.002,1.0,0.001
157,PS15cms,150,0.06627,0.00089,0.06603,3e-05,0.06479,3e-05,18.1087,0.201511,37.3617,0.203312,-9.0,0,1,-0.020643,0.043274,1.37281,0.3396,17.8457,0.0492683,0.00130527,5.92e-05,-0.00440596,2.17e-07,-2.03e-06,149.646,0.743,149.64744,0.742781,5.243178589702898,-69.583,250,0.0224483,10.4286,0.001,57325.9,0.6642,12,7.54254,0.81978,0.1281,0.0301,-0.049,0.002,1.0,0.002
158,SN2016ixf,150,0.06711,0.0009,0.06723,0.00011,0.06602,0.00011,18.1707,0.192528,37.4237,0.194412,-9.0,0,1,-0.114194,0.043204,0.79391,0.35403,17.8074,0.0533693,0.00135219,6.65e-05,-0.00339892,4.68e-06,-2.29e-06,159.936,15.0347,159.935561,15.034654,1.5352550015275201,32.3162,250,0.0293128,9.99601,0.018,57742.6,0.7832,6,19.916,0.0028663,0.1185,0.0301,0.0545,0.002,1.0,0.003
159,AT2016aj,150,0.06725,0.00089,0.06731,5e-05,0.06741,5e-05,17.9814,0.201202,37.2344,0.203006,-9.0,0,0,0.013964,0.044254,-1.03989,0.35339,18.1501,0.0528724,0.000986181,4.8e-05,-0.000667131,-1.62e-06,-1.7e-06,70.6025,-21.7244,70.60221,-21.72539,3.6936015597255594,17.2632,250,0.041363,10.7026,0.0,57442.9,0.4142,8,11.9799,0.1521,0.1174,0.0297,-0.0803,0.002,1.0,0.004
160,PS15bjg,150,0.06786,0.00089,0.06758,1e-05,0.06889,1e-05,18.2405,0.188576,37.4935,0.190499,-9.0,0,0,-0.147356,0.047614,-0.875725,0.25676,18.0541,0.0696089,0.00107734,6.91e-05,1.62e-05,-4.01e-06,-2.44e-06,343.793,-0.4102,343.791744,-0.409331,5.4982460493395635,-77.8014,250,0.0792819,11.2378,0.001,57239.2,0.2091,8,20.9004,0.0074168,0.118,0.0294,0.0877,0.003,1.0,0.001
161,CSS160129,150,0.06844,0.00134,0.06841,0.001,0.06766,0.001,17.9851,0.189306,37.2381,0.191221,-9.0,0,0,-0.166092,0.038661,0.68966,0.19472,17.5247,0.0527968,0.00175442,8.53e-05,-0.00133029,-7.56e-07,-1.95e-06,115.123,10.9333,,,,-8.7606,250,0.0324758,8.86459,0.1,57416.2,0.045,12,13.5072,0.40944,0.1086,0.0439,0.1025,0.005,1.0,0.002
162,PTSS17-niq,150,0.06897,0.00089,0.0691,1e-05,0.06828,1e-05,18.0287,0.172038,37.2817,0.174144,-9.0,0,0,-0.041041,0.040784,-0.597985,0.32918,18.0142,0.048576,0.00111772,5e-05,-0.00265013,3.93e-06,-1.65e-06,215.069,15.3417,215.067375,15.344239,10.741203374159708,35.4616,250,0.020456,10.6052,0.001,57842.4,0.7292,7,17.1745,0.0163048,0.1096,0.029,-0.0282,0.002,1.0,0.001
163,PS17yt,150,0.07073,0.00089,0.07046,2e-05,0.06976,2e-05,18.2257,0.174101,37.4787,0.176182,-9.0,0,0,-0.154333,0.037631,0.40963,0.27097,17.8232,0.039969,0.00133269,4.91e-05,-0.000341055,-4.13e-06,-1.47e-06,150.992,49.0412,150.995281,49.038706,11.855968878947595,-73.4287,250,0.00918051,9.95752,0.1,57786.6,0.2175,8,11.8641,0.15737,0.1032,0.0283,0.0827,0.004,1.0,0.002
164,PS16em,150,0.07083,0.00091,0.07113,0.00017,0.06981,0.00017,18.2284,0.446252,37.4814,0.447068,-9.0,0,0,0.19617,0.095695,-0.938437,0.18326,18.7988,0.15293,0.000542595,7.64e-05,0.000331296,-5.77e-07,-3.07e-06,163.892,-3.3663,163.890982,-3.367476,5.595336574914094,84.9082,250,0.0366953,10.0881,0.002,57386.1,1.3277,31,35.7855,0.25373,0.2715,0.0289,-0.227,0.011,1.0,0.016
165,ATLAS16bwu,150,0.07091,0.00089,0.07074,6e-05,0.0718,6e-05,18.1182,0.226654,37.3712,0.228257,-9.0,0,0,0.042792,0.03957,0.10725,0.29441,18.238,0.0450749,0.000909529,3.78e-05,-0.000845382,4.66e-07,-1.27e-06,18.5927,-13.1531,18.594708,-13.154417,8.486956097567043,-47.7797,250,0.0186687,9.63137,0.017,57609.2,0.5125,8,11.9512,0.1534,0.1005,0.0282,-0.0491,0.005,1.0,0.013
